Week #,Report #,Report Date,Futures Based On,Unfixed Call Sales,Chg Sales,Unfixed Call Purchases,Chg Purchases,At Close,Chg At Close,Yr,Month,Old/New,Report Year
25.0,26,06/25/2021,Totals,122225,5588,46077,267,211083,2459,,,total,2021
26.0,27,07/02/2021,July 2021,0,-80,0,0,2,-3,2021.0,7.0,old,2021
26.0,27,07/02/2021,October 2021,0,0,0,0,280,0,2021.0,10.0,old,2021
26.0,27,07/02/2021,December 2021,52812,11,23696,-523,148366,3787,2021.0,12.0,old,2021
26.0,27,07/02/2021,March 2022,24464,905,5803,8,39551,2919,2022.0,3.0,old,2021
26.0,27,07/02/2021,May 2022,11028,325,1083,66,7181,-136,2022.0,5.0,old,2021
26.0,27,07/02/2021,July 2022,27260,1125,3752,154,10319,507,2022.0,7.0,old,2021
26.0,27,07/02/2021,October 2022,0,0,0,0,2,2,2022.0,10.0,old,2021
26.0,27,07/02/2021,December 2022,7254,-205,10421,318,13016,749,2022.0,12.0,new1,2021
26.0,27,07/02/2021,March 2023,1412,0,246,0,204,22,2023.0,3.0,new1,2021
26.0,27,07/02/2021,May 2023,18,0,0,0,3,0,2023.0,5.0,new1,2021
26.0,27,07/02/2021,July 2023,18,0,0,0,3,0,2023.0,7.0,new1,2021
26.0,27,07/02/2021,December 2023,40,0,659,0,3,0,2023.0,12.0,new2,2021
26.0,27,07/02/2021,July 2024,0,0,220,0,0,0,2024.0,7.0,new2,2021
26.0,27,07/02/2021,December 2024,0,0,220,0,0,0,2024.0,12.0,new3,2021
26.0,27,07/02/2021,Totals,124306,2081,46100,23,218930,7847,,,total,2021
